nEvent , x , y , z , px , py , pz , trackID 
48 , 4.73616e-10 , -3.7915e-10 , 534.566 , -0.00881138 , -0.0417604 , 1.80569 , 2
49 , 0 , 0 , -300 , 1.52183e-10 , 1.46714e-10 , 150 , 0
49 , 8.46817e-10 , 8.16382e-10 , 534.669 , -0.0172451 , 0.0487788 , 147.33 , 1
49 , 8.46817e-10 , 8.16382e-10 , 534.669 , 0.0481152 , -0.0190182 , 2.67015 , 2
49 , 0.00852253 , -0.00331895 , 535.143 , 0.0307018 , -0.0113306 , 1.70284 , 275
49 , 5188.4 , -4249.64 , -10470.9 , -0.000211542 , -0.000118575 , -0.00167722 , 340
50 , 0 , 0 , -300 , 1.82876e-10 , 1.51389e-10 , 150 , 0
50 , 1.01152e-09 , 8.37358e-10 , 529.677 , 0.0614863 , -0.014818 , 145.97 , 1
50 , 1.01152e-09 , 8.37358e-10 , 529.677 , -0.0030754 , 0.0631719 , 4.03023 , 2
50 , 3351.8 , 3267.2 , 2482.59 , 0.00171914 , 0.00164033 , 0.000364332 , 352
51 , 0 , 0 , -300 , 1.11816e-10 , 3.65597e-13 , 150 , 0
51 , 6.2173e-10 , 2.03283e-12 , 534.044 , -0.0331877 , -0.0400093 , 147.304 , 1
51 , 6.2173e-10 , 2.03283e-12 , 534.044 , -0.0334486 , 0.0397914 , 2.696 , 2
51 , -8720.53 , -2321.17 , 2335.13 , -0.00187622 , -0.000257274 , 1.81149e-05 , 615
51 , -17.4056 , 20.7097 , 1973.13 , -0.00204424 , 0.00257421 , 0.172341 , 686
52 , 0 , 0 , -300 , 7.97154e-11 , 3.48431e-12 , 150 , 0
52 , 4.40463e-10 , 1.92524e-11 , 528.817 , 0.0431256 , -0.00742539 , 148.1 , 1
52 , 4.40463e-10 , 1.92524e-11 , 528.817 , 0.0423133 , 0.0111599 , 1.89955 , 2
52 , 16.3215 , 4.94344 , 1252.72 , 0.000186862 , 6.27463e-05 , 0.00806945 , 4
52 , 1.22824e-06 , -2.32408e-07 , -20.8002 , 0.00101703 , 0.000203095 , 0.00105244 , 25
53 , 0 , 0 , -300 , -1.08782e-10 , 1.04002e-11 , 150 , 0
53 , -6.01402e-10 , 5.74975e-11 , 529.277 , 0.0250834 , -0.0284642 , 148.577 , 1
53 , -6.01402e-10 , 5.74975e-11 , 529.277 , 0.0300224 , 0.0231958 , 1.42289 , 2
53 , -7463.04 , -4464.27 , -17636.8 , -0.000959499 , -0.000463505 , -0.00403917 , 70
53 , 11.1908 , 9.5067 , 1141.08 , 0.00786203 , 0.00755318 , 0.422639 , 205
53 , 11.1865 , 9.5029 , 1140.83 , 0.000110084 , 9.42831e-05 , 0.00608856 , 206
53 , 0.0111537 , 0.00865071 , 529.814 , 2.40261e-05 , 1.80857e-05 , 0.00114293 , 208
54 , 0 , 0 , -300 , -3.68964e-11 , 6.01117e-11 , 150 , 0
54 , -2.04025e-10 , 3.32399e-10 , 529.453 , -0.0158922 , -0.0286193 , 148.943 , 1
54 , -2.04025e-10 , 3.32399e-10 , 529.453 , 0.0327132 , 0.00121454 , 1.05655 , 2
54 , -0.160017 , -0.285617 , 1972.94 , 0.00107432 , 9.79956e-05 , 0.00113917 , 12
55 , 0 , 0 , -300 , 1.65e-11 , 8.29899e-11 , 150 , 0
55 , 9.14816e-11 , 4.60124e-10 , 531.65 , 0.0417939 , 0.00414823 , 148.252 , 1
55 , 9.14816e-11 , 4.60124e-10 , 531.65 , -0.0370286 , 0.0198197 , 1.74783 , 2
55 , -6.48301 , 3.33404 , 843.587 , -0.00253492 , 0.00127363 , 0.125342 , 7
55 , -0.00249445 , 0.00133716 , 531.769 , -3.58553e-06 , -0.00238622 , 0.00595547 , 8
55 , 0.418019 , 0.0213406 , 1973 , -0.00162264 , -0.000878411 , 0.00333506 , 117
56 , 0 , 0 , -300 , -6.92311e-11 , 7.99038e-11 , 150 , 0
56 , -3.82165e-10 , 4.41079e-10 , 528.019 , -0.0248985 , -0.0205226 , 148.974 , 1
56 , -3.82165e-10 , 4.41079e-10 , 528.019 , 0.023859 , 0.0217224 , 1.02624 , 2
57 , 0 , 0 , -300 , 4.94538e-12 , 2.5192e-10 , 150 , 0
57 , 2.73484e-11 , 1.39314e-09 , 529.514 , 8.85432e-05 , 0.0378374 , 148.585 , 1
57 , 2.73484e-11 , 1.39314e-09 , 529.514 , 0.00139651 , 0.0378117 , 1.41519 , 2
57 , -1.23048 , 39.1914 , 1959.98 , -4.70042e-06 , 0.000105069 , 0.00395913 , 5
58 , 0 , 0 , -300 , -5.86008e-11 , 1.77025e-10 , 150 , 0
58 , -3.23744e-10 , 9.77984e-10 , 528.685 , 0.0187667 , -0.0541044 , 146.714 , 1
58 , -3.23744e-10 , 9.77984e-10 , 528.685 , 0.0172231 , -0.0546154 , 3.28613 , 2
58 , 4961.52 , -11801.8 , -6211.09 , 0.000731914 , -0.0019117 , -0.00071723 , 465
58 , 15425 , -18931.2 , -6224.13 , 0.00177572 , -0.00333146 , -0.00115346 , 742
59 , 0 , 0 , -300 , -1.01633e-12 , 9.60335e-12 , 150 , 0
59 , -5.63979e-12 , 5.32907e-11 , 532.377 , -0.00284857 , 0.0320648 , 148.979 , 1
59 , -5.63979e-12 , 5.32907e-11 , 532.377 , -0.00392624 , 0.0319507 , 1.02143 , 2
59 , 15881.8 , 6922.28 , -2406.05 , 0.00140717 , 0.000888116 , -0.000556538 , 69
60 , 0 , 0 , -300 , 1.02029e-10 , 3.42025e-11 , 150 , 0
60 , 5.6304e-10 , 1.88744e-10 , 527.764 , 0.0156419 , 0.0556728 , 146.647 , 1
60 , 5.6304e-10 , 1.88744e-10 , 527.764 , 0.0460365 , -0.0349968 , 3.35255 , 2
60 , 1830.26 , 1782.32 , 10.2744 , 0.000244826 , 0.00125975 , -0.00157863 , 409
60 , 0.0391277 , -0.0301557 , 530.629 , 0.00739281 , -0.0054979 , 0.52019 , 769
61 , 0 , 0 , -300 , -1.57975e-10 , -1.77722e-10 , 150 , 0
61 , -8.73512e-10 , -9.82702e-10 , 529.417 , 0.0381489 , -0.00253095 , 148.555 , 1
61 , -8.73512e-10 , -9.82702e-10 , 529.417 , -0.00698615 , 0.0375891 , 1.44522 , 2
62 , 0 , 0 , -300 , -1.38693e-10 , 9.20471e-12 , 150 , 0
62 , -7.68437e-10 , 5.09992e-11 , 531.082 , -0.0295423 , 0.0124418 , 148.987 , 1
62 , -7.68437e-10 , 5.09992e-11 , 531.082 , -0.0309274 , -0.00842859 , 1.01277 , 2
62 , -8.64779 , -2.31844 , 843.702 , -0.00118331 , 0.000307396 , 0.00135507 , 4
63 , 0 , 0 , -300 , -5.2922e-11 , -3.4857e-11 , 150 , 0
63 , -2.9385e-10 , -1.93544e-10 , 532.877 , -0.0474148 , 0.0848814 , 140.041 , 1
63 , -2.9385e-10 , -1.93544e-10 , 532.877 , 0.0592603 , -0.0770794 , 9.95893 , 2
63 , 10350.1 , 13244.6 , -10651 , 0.000705113 , 0.000826535 , -0.000929886 , 2007
