nEvent , x0 , y0 , Ax , Ay , err_x0 , err_y0 , err_Ax , err_Ay , chi2 
46 , -0.0325243 , -0.129246 , 7.11604e-05 , 0.000239592 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.0100112
46 , 13.6907 , -8.40346 , -0.0248772 , 0.0159588 , 0.0890797 , 0.0747186 , 7.64409e-05 , 6.10824e-05 , 14.5484
47 , -0.0388077 , 0.228843 , 6.54951e-05 , -0.000435254 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.0209998
47 , -4.92421 , -6.88891 , 0.00939907 , 0.0127859 , 0.0876967 , 0.0497756 , 7.50093e-05 , 3.5352e-05 , 13.9098
48 , 2.688 , 12.5225 , -0.00472741 , -0.0232181 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 8.85801
48 , -0.138228 , -0.0671298 , 0.000256564 , 0.000118494 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.0343173
49 , 0.0618877 , -0.186332 , -0.000120146 , 0.00034458 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.0192641
49 , -7.81434 , 5.72085 , 0.0148513 , -0.00960552 , 0.103687 , 0.0773654 , 9.27347e-05 , 6.49822e-05 , 2.00207
50 , 0.852595 , -8.49102 , -0.00133137 , 0.0162498 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 18.7788
50 , -0.216924 , 0.0518559 , 0.000403008 , -0.000112323 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.0567761
51 , 6.43843 , -7.49887 , -0.0121065 , 0.0143074 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 10.735
51 , 0.123133 , 0.12647 , -0.000241528 , -0.000247734 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.0736623
52 , -0.153572 , 0.0124078 , 0.000290765 , -3.26676e-05 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.00926036
52 , -12.5536 , -4.35415 , 0.0231232 , 0.0073578 , 0.0496204 , 0.0736781 , 3.63903e-05 , 5.99289e-05 , 22.0069
54 , 0.0528595 , 0.0959694 , -0.000108655 , -0.000188892 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.0442987
54 , -17.5774 , -0.0570772 , 0.0331835 , 0.000747822 , 0.0890797 , 0.0747185 , 7.64409e-05 , 6.10824e-05 , 3.27072
55 , -0.150547 , 0.0188962 , 0.000287692 , -9.40381e-06 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.133561
55 , 9.80841 , -4.86563 , -0.0193921 , 0.0097405 , 0.0496204 , 0.0736781 , 3.63903e-05 , 5.99289e-05 , 14.8316
56 , 0.0626473 , 0.0688723 , -0.000135419 , -0.00012927 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.0293802
56 , -13.0958 , -12.7676 , 0.0246213 , 0.0220802 , 0.0890797 , 0.0747185 , 7.64409e-05 , 6.10824e-05 , 6.38486
57 , 0.928394 , -14.9092 , -0.00107769 , 0.0276164 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 42.6171
57 , -0.0561794 , -0.121588 , 3.75291e-05 , 0.0002399 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 1.1289
58 , -0.0739338 , 0.199828 , 0.000140951 , -0.000370735 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.00502414
58 , -2.72275 , 8.51548 , 0.0055074 , -0.0162871 , 0.0890797 , 0.0747186 , 7.64409e-05 , 6.10824e-05 , 12.7262
59 , 0.00560462 , -0.130149 , -1.04516e-05 , 0.000233146 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.0119289
59 , 0.418957 , -15.9387 , -0.0013425 , 0.0300752 , 0.0891444 , 0.0746045 , 7.64751e-05 , 6.09596e-05 , 39.6343
60 , -7.26463 , 5.66353 , 0.0139924 , -0.0107805 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 17.2194
60 , -0.0622741 , -0.203063 , 0.000113037 , 0.000381474 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.0190056
61 , -0.136001 , 0.00377198 , 0.000251515 , -1.29032e-05 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.0106484
61 , 1.52261 , -15.5385 , -0.00341651 , 0.0285147 , 0.0496204 , 0.0736781 , 3.63903e-05 , 5.99289e-05 , 57.1957
62 , 0.125849 , -0.0318633 , -0.00022679 , 5.79829e-05 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.00174143
62 , 10.0317 , 7.89281 , -0.0230543 , -0.0111701 , 0.069338 , 0.0744777 , 4.7222e-05 , 4.89175e-05 , 13.8655
63 , -3.48499 , 4.19801 , 0.0062526 , -0.0078158 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 11.7661
63 , 0.159117 , -0.308064 , -0.000314494 , 0.000595399 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.0809452
64 , -0.11222 , 0.0561048 , 0.000218454 , -9.98742e-05 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.00299325
64 , 11.9885 , 2.36037 , -0.023912 , -0.00596852 , 0.0877359 , 0.0742905 , 7.50241e-05 , 4.88708e-05 , 3.81593
65 , 0.041268 , -0.0957823 , -9.46669e-05 , 0.000178332 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.0182651
65 , 11.1752 , 8.95625 , -0.0212414 , -0.0175144 , 0.0890042 , 0.0747435 , 7.65459e-05 , 6.11253e-05 , 44.456
66 , -2.792 , 4.57517 , 0.00516395 , -0.00868112 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 4.26056
66 , -0.0220504 , -0.348357 , 4.86514e-05 , 0.00065691 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.0173763
67 , 0.142619 , -0.0367357 , -0.000274303 , 7.62355e-05 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.0144565
67 , -5.82324 , 10.2305 , 0.0108007 , -0.0194862 , 0.0496204 , 0.0736781 , 3.63903e-05 , 5.99289e-05 , 14.8123
68 , -0.0442655 , -0.156659 , 7.42562e-05 , 0.000281486 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.0136021
68 , -9.03745 , 8.60899 , 0.0164256 , -0.0164078 , 0.050676 , 0.0736267 , 3.72742e-05 , 5.99998e-05 , 29.1218
70 , 0.0887393 , 0.11298 , -0.000162969 , -0.000216722 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.0137537
70 , -5.38753 , 12.2443 , 0.0102563 , -0.0234432 , 0.0876967 , 0.0497756 , 7.50093e-05 , 3.5352e-05 , 18.5309
71 , -5.02426 , 9.33627 , 0.00933892 , -0.0177229 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 24.4597
71 , -0.156759 , -0.0533813 , 0.00030431 , 9.86815e-05 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.0138829
72 , -4.91975 , -4.4488 , 0.00928235 , 0.00827166 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.623468
72 , -0.0103115 , 0.284209 , 2.67871e-05 , -0.000536322 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.00430542
73 , -5.04723 , -7.13383 , 0.00930931 , 0.0134244 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 4.74293
73 , 0.101101 , -0.215644 , -0.000185844 , 0.00040747 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.00038728
74 , 7.53247 , 6.64273 , -0.0140027 , -0.0118629 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 21.3125
74 , -0.131539 , -0.189397 , 0.000245678 , 0.000343599 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.034089
75 , -0.0716712 , -0.0998808 , 0.000143346 , 0.000173105 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.00833031
75 , -2.49229 , -14.427 , 0.00464062 , 0.0283652 , 0.103687 , 0.0773654 , 9.27347e-05 , 6.49822e-05 , 66.9881
76 , -0.214136 , -0.0550072 , 0.00040559 , 0.000106351 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.00230168
76 , -8.69152 , -1.18407 , 0.0162817 , 0.00231029 , 0.0890797 , 0.0747186 , 7.64409e-05 , 6.10824e-05 , 0.929739
77 , 8.27933 , -9.48812 , -0.0156454 , 0.0176788 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 20.4667
77 , 0.1247 , 0.0427574 , -0.000244696 , -9.48812e-05 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.00967817
78 , -0.130989 , 0.16528 , 0.000230633 , -0.000308575 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.0214336
78 , 7.98288 , -4.04386 , -0.0155486 , 0.00831402 , 0.0496204 , 0.0736781 , 3.63903e-05 , 5.99289e-05 , 21.4412
79 , 0.0502847 , -0.0562581 , -8.27534e-05 , 0.000182049 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 5.36927
79 , -13.8468 , -8.15283 , 0.0258107 , 0.0158594 , 0.0890797 , 0.0747185 , 7.64409e-05 , 6.10824e-05 , 8.36624
80 , 0.12117 , 0.00363789 , -0.000229407 , 1.01239e-06 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.00204153
80 , 2.31295 , -13.9275 , -0.00462562 , 0.0272092 , 0.0890797 , 0.0747185 , 7.64409e-05 , 6.10824e-05 , 74.6817
81 , -0.0471204 , -0.093029 , 9.58618e-05 , 0.000179818 , 0.0495878 , 0.0497348 , 3.63261e-05 , 3.5262e-05 , 0.016494
81 , 15.2279 , -0.608571 , -0.0295538 , -0.00043705 , 0.107367 , 0.0557057 , 9.77886e-05 , 3.70709e-05 , 18.3592
